
> localhub@0.1.0 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.5:3000
- Environments: .env.local
✓ Ready in 331ms

 GET / 200 in 103ms (next.js: 3ms, proxy.ts: 3ms, application-code: 96ms)
 GET / 200 in 110ms (next.js: 3ms, proxy.ts: 3ms, application-code: 103ms)
 GET / 200 in 101ms (next.js: 3ms, proxy.ts: 3ms, application-code: 95ms)
 GET / 200 in 106ms (next.js: 3ms, proxy.ts: 3ms, application-code: 101ms)
 GET / 200 in 103ms (next.js: 3ms, proxy.ts: 4ms, application-code: 95ms)
 GET / 200 in 109ms (next.js: 4ms, proxy.ts: 4ms, application-code: 102ms)
 GET / 200 in 104ms (next.js: 3ms, proxy.ts: 3ms, application-code: 99ms)
 GET / 200 in 94ms (next.js: 4ms, proxy.ts: 3ms, application-code: 88ms)
 GET / 200 in 104ms (next.js: 11ms, proxy.ts: 3ms, application-code: 90ms)
 GET / 200 in 97ms (next.js: 2ms, proxy.ts: 3ms, application-code: 91ms)
 GET / 200 in 113ms (next.js: 3ms, proxy.ts: 3ms, application-code: 106ms)
 GET / 200 in 214ms (next.js: 3ms, proxy.ts: 3ms, application-code: 208ms)
 GET / 200 in 96ms (next.js: 3ms, proxy.ts: 4ms, application-code: 90ms)
 GET / 200 in 184ms (next.js: 3ms, proxy.ts: 4ms, application-code: 178ms)
 GET / 200 in 441ms (next.js: 3ms, proxy.ts: 4ms, application-code: 434ms)
 GET / 200 in 157ms (next.js: 2ms, proxy.ts: 6ms, application-code: 149ms)
 GET / 200 in 282ms (next.js: 4ms, proxy.ts: 4ms, application-code: 275ms)
 GET /merchant 200 in 99ms (next.js: 40ms, proxy.ts: 2ms, application-code: 56ms)
 GET /login 200 in 55ms (next.js: 29ms, proxy.ts: 3ms, application-code: 23ms)
 GET /login 200 in 29ms (next.js: 2ms, proxy.ts: 2ms, application-code: 24ms)
 POST /api/auth/login 307 in 904ms (next.js: 434ms, proxy.ts: 4ms, application-code: 466ms)
 POST /login?error=Invalid+login+credentials 200 in 48ms (next.js: 3ms, proxy.ts: 5ms, application-code: 40ms)
 POST /api/search 200 in 1666ms (next.js: 27ms, proxy.ts: 5ms, application-code: 1634ms)
 GET /login 200 in 48ms (next.js: 3ms, proxy.ts: 3ms, application-code: 42ms)
 GET / 200 in 213ms (next.js: 2ms, proxy.ts: 3ms, application-code: 207ms)
 GET / 200 in 927ms (next.js: 103ms, proxy.ts: 69ms, application-code: 754ms)
✓ Compiled in 210ms
 GET / 200 in 457ms (next.js: 78ms, proxy.ts: 36ms, application-code: 343ms)
 GET / 200 in 125ms (next.js: 3ms, proxy.ts: 4ms, application-code: 117ms)
 GET / 200 in 194ms (next.js: 2ms, proxy.ts: 3ms, application-code: 189ms)
 GET / 200 in 178ms (next.js: 4ms, proxy.ts: 5ms, application-code: 169ms)
 GET / 200 in 189ms (next.js: 5ms, proxy.ts: 4ms, application-code: 180ms)
 GET / 200 in 221ms (next.js: 3ms, proxy.ts: 4ms, application-code: 214ms)
✓ Compiled in 67ms
 GET / 200 in 370ms (next.js: 100ms, proxy.ts: 20ms, application-code: 251ms)
 GET / 200 in 159ms (next.js: 2ms, proxy.ts: 4ms, application-code: 152ms)
 GET / 200 in 204ms (next.js: 4ms, proxy.ts: 3ms, application-code: 197ms)
✓ Compiled in 75ms
 GET / 200 in 308ms (next.js: 70ms, proxy.ts: 18ms, application-code: 220ms)
 GET / 200 in 102ms (next.js: 4ms, proxy.ts: 7ms, application-code: 90ms)
 GET / 200 in 180ms (next.js: 9ms, proxy.ts: 7ms, application-code: 163ms)
✓ Compiled in 118ms
 GET / 200 in 485ms (next.js: 97ms, proxy.ts: 32ms, application-code: 356ms)
 GET / 200 in 107ms (next.js: 2ms, proxy.ts: 4ms, application-code: 101ms)
 GET / 200 in 131ms (next.js: 6ms, proxy.ts: 4ms, application-code: 121ms)
 GET / 200 in 165ms (next.js: 3ms, proxy.ts: 4ms, application-code: 158ms)
 GET / 200 in 102ms (next.js: 2ms, proxy.ts: 3ms, application-code: 97ms)
 GET / 200 in 95ms (next.js: 2ms, proxy.ts: 4ms, application-code: 89ms)
 GET / 200 in 110ms (next.js: 3ms, proxy.ts: 2ms, application-code: 105ms)
 GET / 200 in 250ms (next.js: 121ms, proxy.ts: 4ms, application-code: 125ms)
 GET / 200 in 187ms (next.js: 4ms, proxy.ts: 15ms, application-code: 168ms)
✓ Compiled in 52ms
 GET / 200 in 349ms (next.js: 124ms, proxy.ts: 29ms, application-code: 196ms)
 GET / 200 in 95ms (next.js: 1939µs, proxy.ts: 3ms, application-code: 90ms)
✓ Compiled in 69ms
 GET / 200 in 325ms (next.js: 89ms, proxy.ts: 24ms, application-code: 213ms)
 GET / 200 in 318ms (next.js: 4ms, proxy.ts: 2ms, application-code: 311ms)
 GET / 200 in 354ms (next.js: 122ms, proxy.ts: 4ms, application-code: 229ms)
 GET / 200 in 129ms (next.js: 5ms, proxy.ts: 14ms, application-code: 111ms)
✓ Compiled in 65ms
 GET / 200 in 378ms (next.js: 85ms, proxy.ts: 19ms, application-code: 273ms)
 GET / 200 in 146ms (next.js: 1806µs, proxy.ts: 3ms, application-code: 142ms)
 GET / 200 in 180ms (next.js: 1906µs, proxy.ts: 3ms, application-code: 176ms)
 GET / 200 in 108ms (next.js: 3ms, proxy.ts: 3ms, application-code: 103ms)
 GET / 200 in 98ms (next.js: 2ms, proxy.ts: 4ms, application-code: 91ms)
 GET / 200 in 114ms (next.js: 2ms, proxy.ts: 4ms, application-code: 107ms)
 GET / 200 in 98ms (next.js: 2ms, proxy.ts: 3ms, application-code: 93ms)
✓ Compiled in 58ms
 GET / 200 in 265ms (next.js: 128ms, proxy.ts: 18ms, application-code: 118ms)
 GET / 200 in 103ms (next.js: 1749µs, proxy.ts: 4ms, application-code: 98ms)
✓ Compiled in 143ms
  Reload env: .env.local
✓ Compiled in 140ms
